opta_id,opta_name,tm_id,tm_name,canonical_name,match_type,match_confidence,last_verified,updated_at
5m5qyz18o5hmta6mh4zk57sh5,S. Ascacíbar,423436.0,Santiago Ascacíbar,s ascacibar,exact_surname,0.9,2026-06-07,
535x3dlhe2q6o2gr4dy7d11ck,S. Ayala,1157864.0,T. Ayala,s ayala,exact_surname,0.9,2026-06-07,
9sw1uxxwqqbpt2fkj8lahh90p,S. Bareiro,514120.0,Adam Bareiro,s bareiro,exact_surname,0.9,2026-06-07,
eajrnebitbb6r2c4sdmufud3p,S. Bradley,624258.0,C. Bradley,s bradley,exact_surname,0.9,2026-06-07,
1sun9nitagc7ikkpwzrdkj179,S. Conteh,307183.0,C. Conteh,s conteh,exact_surname,0.9,2026-06-07,
av7e2wk5ub7qnh3sqcvssvh79,S. Cook,249089.0,L. Cook,s cook,exact_surname,0.9,2026-06-07,
8ehhfiuvebvz3k4meba7nek89,S. Cáseres,829434.0,F. Cáseres,s caseres,exact_surname,0.9,2026-06-07,
b187awt0wdxh20fx1rn5vgewa,S. Dembélé,288230.0,O. Dembélé,s dembele,exact_surname,0.9,2026-06-07,
3s0tyude1pghox634ij87srft,S. Dewaele,250138.0,G. Dewaele,s dewaele,exact_surname,0.9,2026-06-07,
4sen3h54ijhx9wqppfi7vl4gl,S. Ernst,553282.0,T. Ernst,s ernst,exact_surname,0.9,2026-06-07,
4sskvw16m8gh8al8vy0ephuc5,S. Fletcher,1011140.0,J. Fletcher,s fletcher,exact_surname,0.9,2026-06-07,
3tbzdsya9q8uiwpunluutobf9,S. Gassama,1111215.0,K. Gassama,s gassama,exact_surname,0.9,2026-06-07,
7oikovl62nfxs6z54dzd85gx5,S. Greenwood,532826.0,M. Greenwood,s greenwood,exact_surname,0.9,2026-06-07,
dn8qd3thtswisleeesyk0oxrd,S. Grønning,97503.0,J. Grønning,s grnning,exact_surname,0.9,2026-06-07,
739143kxvd77sqjthh8p5xiqc,S. Guerrero,971630.0,R. Guerrero,s guerrero,exact_surname,0.9,2026-06-07,
e3g6htjvpnl86f7ehg7txz4es,S. Karim,969447.0,D. Karim,s karim,exact_surname,0.9,2026-06-07,
25wca8l7lo6ctrquzuw0j91w5,S. Kerk,268112.0,G. Kerk,s kerk,exact_surname,0.9,2026-06-07,
50c2v0l2cmkh82vso5tnjv3yt,S. Long,151334.0,G. Long,s long,exact_surname,0.9,2026-06-07,
e1m3awfq2q04hmckogkiyuitx,S. Long,151334.0,G. Long,s long,exact_surname,0.9,2026-06-07,
bfw095rzty1ma9h404nwewiqd,S. Maguire,177907.0,H. Maguire,s maguire,exact_surname,0.9,2026-06-07,
50tnoldrs0u2s1ca9irkrtdjp,S. Malone,84405.0,D. Malone,s malone,exact_surname,0.9,2026-06-07,
c85okl2ctooj3z35wrni0wjx1,S. Mamba,161060.0,Streli Mamba,s mamba,exact_surname,0.9,2026-06-07,
cym4wbw14zw1jh4jsp3sbyk0l,S. Mandanda,86055.0,P. Mandanda,s mandanda,exact_surname,0.9,2026-06-07,
